txt_file name,Most Common Product,Topic/Classification
--aOisk7Hf8.txt,No consumer good detected,/Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events with Confidence 0.5303078293800354
-W0Du80k6Tw.txt,product,/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics with Confidence 0.8952329754829407
0J44snY3lbY.txt,makeup,/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics with Confidence 0.9923770427703857
0zXfDafyyao.txt,wedding dress,/Shopping/Apparel/Formal Wear with Confidence 0.48899078369140625
1l9-Tc1tYlo.txt,fragrance,/Beauty & Fitness/Face & Body Care/Perfumes & Fragrances with Confidence 0.9802195429801941
1Xn6BZqhMio.txt,super shock,/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics with Confidence 0.7166317701339722
2KEI29IfOp4.txt,food,/Arts & Entertainment/TV & Video/TV Shows & Programs with Confidence 0.36761680245399475
2NNQYT8PdhI.txt,guitar,/People & Society/Family & Relationships/Romance with Confidence 0.6961269378662109
2obhscG7GcQ.txt,massage favorite,/Arts & Entertainment/TV & Video/Online Video with Confidence 0.31323879957199097
2omuOarg2hE.txt,animal crossing,/Arts & Entertainment/TV & Video/Online Video with Confidence 0.5549911260604858
2QHV8ItNYT8.txt,No consumer good detected,/Finance/Investing/Other with Confidence 0.4809872508049011
2uaGw1D-X0Y.txt,No consumer good detected,/Online Communities/Online Journals & Personal Sites with Confidence 0.2989744544029236
2wfWK2Z9A58.txt,suit,/Arts & Entertainment/TV & Video/TV Shows & Programs with Confidence 0.21933601796627045
_A0P1kilpjE.txt,foundation,/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics with Confidence 0.848090648651123
_g7evY-GqBw.txt,No consumer good detected,/Finance/Financial Planning & Management/Other with Confidence 0.3873290419578552
_j1lQWHg8J0.txt,chair,/Arts & Entertainment/TV & Video/Online Video with Confidence 0.29767584800720215
_mc6zGfJ9FU.txt,No consumer good detected,/People & Society/Family & Relationships/Family/Other with Confidence 0.13872213661670685
_UObVJ8oxag.txt,outfits,/Beauty & Fitness/Fashion & Style/Other with Confidence 0.5993372797966003
_vBpo55RwLY.txt,camera,/Online Communities/Online Journals & Personal Sites with Confidence 0.2793400287628174
